Артикул;Название товара;Бренд;Остаток на складе;Оптовая цена;Розничная цена;Ссылка на сайте
TA-45C-1300-3S1P;Аккумулятор TATTU 1300 mAh 3S 11.1V 45C LiPo XT60;TATTU;30;1592.00;1990.00;
BETA-0053;Разъем BETAFPV JST-PH 2.0 (мама) с кабелем;BETAFPV;30;42.00;60.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_betafpv_jst_ph_2_0_mama_s_kabelem/
1225281-blue;Пропеллеры Dalprop Cyclone T5040C (4 штуки);;30;264.00;310.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_dalprop_cyclone_t5040c_4_shtuki/
FH-FRM3-35;Стойка алюминиевая круглая (d=5 мм) М3 35 мм (1 шт);FlashHobby;30;35.00;45.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/stoyka_alyuminievaya_kruglaya_d_5_mm_m3_35_mm_1_sht/
FH-8160;Разъем Deans T-Plug (пара);;30;56.00;80.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_deans_t_plug_v2_para/
4630097671263-5;Гигиенический гель для рук, антибактериальный, с алоэ и витамином Е, ПЭТ, 30 мл (5 шт в комплекте);;30;;;https://brrc.ru/catalog/radioupravlyaemye_igrushki/sbornye_modeli/zapchasti_i_aksessuary_dlya_sbornykh_modeley/gigienicheskiy_gel_dlya_ruk_antibakterialnyy_s_aloe_i_vitaminom_e_pet_30_ml_5_sht_v_komplekte/
FH-8039;Разъем XT60 (пара);;30;112.00;160.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_xt60_para/
FH-FRM3-30;Стойка алюминиевая круглая (d=5 мм) М3 30 мм (1 шт);FlashHobby;30;35.00;45.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/stoyka_alyuminievaya_kruglaya_d_5_mm_m3_30_mm_1_sht/
1002947;2-сторонняя клейкая лента 3 метра 15мм*3м;3M;30;172.00;230.00;https://brrc.ru/catalog/materialy_i_instrumenty/lipuchki_skotchi/2_storonnyaya_kleykaya_lenta_3m_15mm_3m/
FH-FRM3-25;Стойка алюминиевая круглая (d=5 мм) М3 25 мм (1 шт);FlashHobby;30;35.00;45.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/stoyka_alyuminievaya_kruglaya_d_5_mm_m3_25_mm_1_sht/
1478433;Пищалка мини 9x5.5мм 5V Alarm Buzzer с проводом;;30;51.00;60.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/pishchalka_mini_9x5_5mm_5v_alarm_buzzer_s_provodom/
IMAX-BVT;Тестер Li-Po батарей ImaxRC;IMAXRC;30;230.00;300.00;https://brrc.ru/catalog/apparatura_i_elektronika/izmeritelnye_ustroystva/tester_li_po_batarey_imaxrc/
SCR-041;Лента-стяжка кевларовая (200x20мм) для крепления аккумуляторов (1шт);SCR;30;126.00;180.00;https://brrc.ru/catalog/materialy_i_instrumenty/lipuchki_skotchi/lenta_styazhka_kevlarovaya_250x16mm_dlya_krepleniya_akkumulyatorov_1sht/
DRC-B3-10W;Зарядное устройство Deep RC IMAX B3 PRO 10W (2-3S);Deep RC;30;840.00;1050.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_deep_rc_imax_b3_pro_compact_10w_2_3s/
1412575;Пропеллеры (4шт) Quick Release CW/CCW для Ryze Tello;;30;238.00;390.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/propellery_2/propellery_4sht_quick_release_cw_ccw_dlya_ryze_tello/
77537;XT60 (папа) с проводом 12AWG 10см;;30;172.00;230.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/xt60_papa_s_provodom_12awg_10sm/
SCR-034;Пластиковая проставка 3 мм длиной 5 мм 10шт;SCR;30;34.00;40.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/plastikovaya_prostavka_3_mm_dlinoy_5_mm_10sht/
1649321;Зарядное устройство USB для аккумуляторов 1S Li-Po;;30;225.00;300.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_usb_dlya_akkumulyatorov_1s_li_po/
FH-8042;Разъем MR30-M/FB;;30;112.00;160.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_mr30_m_fb/
DRC-2330;Специальный мешок для зарядки и хранения LiPol аккумуляторов Deep RC 23x30 см (большой);;30;552.00;690.00;https://brrc.ru/catalog/akkumulyatory_i_batareyki/li_pol/spetsialnyy_meshok_dlya_zaryadki_i_khraneniya_lipol_akkumulyatorov_deep_rc_23x30_sm_bolshoy/
BETA-0059-1;Переходник BETAFPV PH2.0 - BT2.0;;30;85.00;100.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/perekhodnik_betafpv_ph2_0_bt2_0/
HPM-EX1404;Бесколлекторный электродвигатель Happymodel EX1404 3500Kv;Happymodel;30;1360.00;1600.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_elektrodvigatel_happymodel_ex1404_3500kv/
FH-8049;Разъем JST (BEC) (мама) с кабелем;;30;91.00;130.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_jst_bec_mama_s_kabelem/
FH-8048;Разъем JST (BEC) (папа) с кабелем;;30;91.00;130.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_jst_bec_papa_s_kabelem/
FH-AM35;Регулятор оборотов Flash Hobby 35A AM_32 ESC;FlashHobby;30;2120.00;2650.00;https://brrc.ru/catalog/apparatura_i_elektronika/regulyatory/regulyatory_khoda_beskollektornye/regulyator_oborotov_flash_hobby_35a_am_32_esc/
BETA-0044;Пропеллеры 4-х лопастные 31 мм, вал 0,8 мм BETAFPV;BETAFPV;30;255.00;300.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_4_kh_lopastnye_31_mm_val_0_8_mm_betafpv/
FH-A2807;Бесколлекторный мотор Flash Hobby A2807 1300 Kv;FlashHobby;30;2072.00;2590.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_motor_flash_hobby_a2807_1300_kv/
DYS-RTM10;Ключ DYS M4/5.5/8/10 для моторов;DYS;30;256.00;320.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/klyuch_dys_m4_5_5_8_10_dlya_motorov/
988213;Регулятор оборотов Spedix ES20 Lite 20A BLHELI_S Firmware;;30;1352.00;1690.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/regulyator_oborotov_spedix_es20_lite_20a_blheli_s_firmware/
645545;Антенна Turbowing 5.8GHz 8dBi RHCP (разъём RP-SMA);;30;876.00;1030.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/antenna_turbowing_5_8ghz_8dbi_rhcp_razyem_rp_sma/
HPM-EX1204;Бесколлекторный мотор Happymodel EX1204 5000Kv;Happymodel;30;1360.00;1600.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_motor_happymodel_ex1204_5000kv/
FH-8040;Разъем XT60H с защитой кабелей (пара);;30;126.00;180.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_xt60h_s_zashchitoy_kabeley_para/
FH-8412;Разъем HXT 4 мм с корпусом;;30;91.00;130.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_hxt_4_mm_s_korpusom_para/
HPM-ES900RX;Модуль приема Happymodel ES900RX 915mhz для пульта управления;Happymodel;30;2618.00;3080.00;https://brrc.ru/catalog/apparatura_i_elektronika/priemniki/modul_priema_happymodel_es900rx_915mhz_dlya_pulta_upravleniya/
BETA-0022;Рама пластиковая 65мм (под моторы 7x16 мм) BETAFPV: Beta65S;BETAFPV;30;383.00;450.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/rama_plastikovaya_65mm_betafpv_beta65s/
FH-BL20A;Регулятор оборотов Flash Hobby BL20A BLHELI_S Firmware;FlashHobby;30;1160.00;1450.00;https://brrc.ru/catalog/apparatura_i_elektronika/regulyatory/regulyatory_khoda_beskollektornye/regulyator_oborotov_flash_hobby_bl20a_blheli_s_firmware/
FR-XM-plus;Приемник FrSky XM+;FrSky;30;2576.00;3030.00;https://brrc.ru/catalog/apparatura_i_elektronika/priemniki/priemnik_frsky_xm/
FH-8024;Разъем 4 мм банан без корпуса (мама, папа);;30;49.00;70.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/rayzem_4_mm_banan_bez_korpusa_para/
DRC-B3-20W;Зарядное устройство Deep RC IMAX B3 COMPACT 20W (2-3S);Deep RC;30;1112.00;1390.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_deep_rc_b3_compact_20w_2_3s/
FH-8038;Разъем TRAXXAS 2pin (пара);;30;105.00;150.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_traxxas_2pin_para/
DRC-1823;Специальный мешок для зарядки и хранения LiPol аккумуляторов Deep RC 18x23 см (малый);Deep RC;30;472.00;590.00;https://brrc.ru/catalog/akkumulyatory_i_batareyki/li_pol/spetsialnyy_meshok_dlya_zaryadki_i_khraneniya_lipol_akkumulyatorov_deep_rc_18x23_sm_malyy/
1609703-1mm-black;Пропеллеры (4 пары) Gemfan 65мм (отверстие 1мм);Gemfan;30;247.00;290.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_4_pary_gemfan_65mm_otverstie_1mm/
1617017-gold;Кабель OTG Type C - Micro USB;;30;172.00;230.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/kabel_otg_type_c_micro_usb/
T-003;Радиомодем ReadyToSky TTL 500mW 3DR 433 Mhz Radio Telemetry Kit;ReadyToSky;30;5865.00;6900.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/radiomodem_readytosky_ttl_250mw_3dr_433_mhz_radio_telemetry_kit/
HQ-3520;Пропеллеры HQProp 35x20, вал 1.5 мм;;30;383.00;450.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_hqprop_35x20_val_1_5_mm/
CDX-008;Видеокамера CADDX Loris 4K;Caddx;30;13728.00;16150.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/videokamera_caddx_loris_4k/
1967428;Полетный контроллер T-Motor Velox F411 Lite F4 OSD;T-Motor;30;7633.00;8980.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/poletnyy_kontroller_t_motor_velox_f411_lite_f4_osd/
FR-QX7(white);Аппаратура управления FrSky Taranis Q X7 (белый), 16 каналов;FrSky;30;18615.00;21900.00;https://brrc.ru/catalog/komplekty_radioapparatury/pult_upravleniya_dlya_aviamodeley/apparatura_upravleniya_frsky_taranis_q_x7_belyy_7_kanalov_1/
BETA-0034;Комплект моторов BETAFPV 7x16 мм 19000KV (4шт);BETAFPV;30;1105.00;1300.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/komplekt_motorov_betafpv_7x16_mm_19000kv_4sht/
FH-8410;Разъем HXT 3.5 мм с корпусом;;30;91.00;130.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_hxt_3_5_mm_s_korpusom_para/
4T121;Втулка сервооси с валом Gyrox;Wright Brothers;30;34.00;40.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_stabilizatora/vtulka_servoosi_s_valom_gyrox/
4R081;Внутренний вал Nemesis;Wright Brothers;30;51.00;60.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/valy/vnutrenniy_val_nemesis/
LR03-2BL Basic;Батарейки Duracell LR03-2BL Basic AAA (1 штука);Duracell;30;42.00;50.00;https://brrc.ru/catalog/akkumulyatory_i_batareyki/batareyki/batareyki_duracell_lr03_2bl_basic_aaa_2shtuki/
DRC-LP55;Взлетная площадка Deep RC 55см для квадрокоптера;Deep RC;30;792.00;990.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/drugoe/vzletnaya_ploshchadka_deep_rc_55sm_dlya_kvadrokoptera/
WB 20# AWG Silicone Black;Провод силиконовый AWG 20#(0.518 мм2) черный 1 метр;Pulsar;30;120.00;160.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/provod_silikonovyy_awg_20_0_518_mm2_chernyy_1_metr/
DRC-LP75;Взлетная площадка Deep RC 75см для квадрокоптера;Deep RC;30;952.00;1190.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/drugoe/vzletnaya_ploshchadka_deep_rc_75sm_dlya_kvadrokoptera/
BETA-0061;Капот BETAFPV: Beta65;BETAFPV;30;213.00;250.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/kapot_betafpv_beta65/
WB 16# AWG Silicone Red;Провод силиконовый AWG 16#(1.31 мм2) красный 1 метр;Pulsar;30;150.00;200.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/provod_silikonovyy_awg_16_1_31_mm2_krasnyy_1_metr/
FH-5515DMG;Сервомашинка цифровая стандартная FH-5515DMG (15 кг/см, металлический редуктор);FlashHobby;30;1160.00;1450.00;https://brrc.ru/catalog/apparatura_i_elektronika/servomashinki/servomashinka_tsifrovaya_standartnaya_fh_5515mg_15_kg_sm_metallicheskiy_reduktor/
HPM-F4;Полетный контроллер Happymodel F4 V3.0 (Frsky);Happymodel;30;7948.00;9350.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/poletnyy_kontroller_happymodel_f4_v3_0_frsky/
REM-P2511;Качалки серво-сейвера Remo Hobby: SMAX, DINGO, ROCKET;Remo Hobby;30;30.00;40.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_podveski/servo_seyvery_i_ikh_elementy/kachalki_servo_seyvera_remo_hobby_smax_dingo_rocket/
Matek-PDB-HEX;Плата питания Matek PDB-HEX 12S, BEC 5A;;30;2627.00;3090.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/plata_pitaniya_matek_pdb_hex_12s_bec_5a/
FH-5509DMG;Сервомашинка цифровая стандартная FH-5509DMG (11 кг/см, металлический редуктор);FlashHobby;30;1160.00;1450.00;https://brrc.ru/catalog/apparatura_i_elektronika/servomashinki/servomashinka_tsifrovaya_standartnaya_fh_5509dmg_11_kg_sm_metallicheskiy_reduktor/
FH-8052;Переходник для зарядного устройства с 4 мм бананами и разъемом Deans T-Plug;;30;210.00;300.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/perekhodnik_dlya_zaryadnogo_ustroystva_s_4_mm_bananami_i_razemom_deans_t_plug/
FR-R6;Приемник FrSky Archer R6;;30;4344.00;5110.00;https://brrc.ru/catalog/apparatura_i_elektronika/priemniki/priemnik_frsky_archer_r6/
OVX306;Видеопередатчик Happymodel OVX306 5.8GHz 25-200mW;Happymodel;30;1938.00;2280.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/videoperedatchik_happymodel_ovx306_5_8ghz_25_200mw/
SCR-043;Стойка для модуля GPS (карбон) 4x6x50;;30;175.00;250.00;https://brrc.ru/catalog/multikoptery/ramy/stoyka_dlya_modulya_gps_karbon_4x6x50/
FH-A2306.5;Бесколлекторный мотор Flash Hobby A2306.5 2300 Kv;FlashHobby;30;1640.00;2050.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_motor_flash_hobby_a2306_5_2300_kv/
PRB08045T2;Катер ProBoat Sprintjet 9-inch Self-Right Jet Boat RTR Blue;ProBoat;30;6715.00;7900.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/korabli_yakhty/katera/elektro_1/kater_proboat_sprintjet_9_inch_self_right_jet_boat_rtr_blue/
CDX-002;Видеокамера FPV CADDX Ratel (линза 2.1 мм);Caddx;30;3468.00;4080.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/videokamera_fpv_caddx_ratel_linza_2_1_mm/
HPM-ES900TX;Модуль передатчика Happymodel ES900TX 915mhz;Happymodel;30;5891.00;6930.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/modul_peredatchika_happymodel_es900tx_915mhz/
PRB08045T1;Катер ProBoat Sprintjet 9-inch Self-Right Jet Boat RTR Silver;ProBoat;30;6715.00;7900.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/korabli_yakhty/katera/elektro_1/kater_proboat_sprintjet_9_inch_self_right_jet_boat_rtr_silver/
RLK-TS100;Модуль GPS Radiolink TS100 Mini M8N;RadioLink;30;3816.00;4490.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/modul_gps_radiolink_ts100_mini_m8n/
WB 16# AWG Silicone Black;Провод силиконовый AWG 16#(1.31 мм2) черный 1 метр;Pulsar;30;150.00;200.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/provod_silikonovyy_awg_16_1_31_mm2_chernyy_1_metr/
PRB08031T1;Катер ProBoat Jet Jam 12 Pool Racer (оранжевый) RTR;ProBoat;30;8415.00;9900.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/korabli_yakhty/katera/elektro_1/radioupravlyaemyy_kater_proboat_jet_jam_12_pool_racer_oranzhevyy_rtr/
SCR-037;Пластиковая проставка 3 мм длиной 25 мм 12шт;SCR;30;153.00;180.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/plastikovaya_prostavka_3_mm_dlinoy_25_mm_4sht/
4R061;Лопасти Nemesis;Wright Brothers;30;34.00;40.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/lopasti/lopasti_nemesis/
BETA-0043;Съемник пропеллеров BETAFPV;BETAFPV;30;43.00;100.00;https://brrc.ru/catalog/materialy_i_instrumenty/ruchnoy_instrument/semnik_propellerov_betafpv/
WB 20# AWG Silicone Red;Провод силиконовый AWG 20#(0.518 мм2) красный 1 метр;Pulsar;30;120.00;160.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/provod_silikonovyy_awg_20_0_518_mm2_krasnyy_1_metr/
BG-0061;Набор для программирования Arduino;;30;4165.00;4900.00;https://brrc.ru/catalog/apparatura_i_elektronika/prochaya_elektronika/nabor_dlya_programmirovaniya_arduino/
Matek-Lidar;Датчик оптического потока и дальномер Matek 3901-L0X;Matek;30;4437.00;5220.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/opticheskiy_i_lidar_datchik_mateksys_3901_l0x/
FH-8032;Провод крокодил - 4мм банан пара (красный и черный);FlashHobby;30;189.00;270.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/provod_krokodil_4mm_banan_para_krasnyy_i_chernyy/
DRC-USB-1S;Зарядное устройство USB Deep RC для аккумуляторов Li-Po 1S;Deep RC;30;184.00;230.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_usb_deep_rc_dlya_akkumulyatorov_li_po_1s/
HPM-SP900;Антенна SP900 для модуля приема Happymodel ES900RX 915mhz;Happymodel;30;213.00;290.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/antenna_sp900_dlya_modulya_priema_happymodel_es900rx_915mhz/
X2216-800;Бесколлекторный двигатель SunnySky X2216 KV800;;30;2465.00;2900.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/beskollektornyy_dvigatel_sunnysky_x2216_kv800/
EACH-F70469;Квадрокоптер Eachine E58 Pro RTF;Eachine;30;5516.00;6490.00;https://brrc.ru/catalog/multikoptery/kvadrokoptery/s_kameroy/kvadrokopter_eachine_e58_pro/
FH-A1106;Бесколлекторный мотор Flash Hobby A1106 6500 Kv;FlashHobby;30;1192.00;1490.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_motor_flash_hobby_a1106_6500_kv/
FH-MT5208;Бесколлекторный мотор Flash Hobby MT5208 340 Kv;FlashHobby;30;3992.00;4990.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_motor_flash_hobby_mt5208_340_kv/
1066837;Комплект бесколлекторных моторов Racerstar Racing Edition BR2205 2300kv (4 мотора);;30;5100.00;6000.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/komplekt_beskollektornykh_motorov_racerstar_racing_edition_br2205_2300kv_4_motora/
6958265117473;Комплект антенн (4 штуки) для DJI Phantom 3 (part3);DJI;30;85.00;100.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/zapchasti_dji/zapchasti_dlya_phantom_3_pro_adv/komplekt_antenn_4_shtuki_dlya_dji_phantom3/
BG-0017;Карбоновая рама со стойками и болтами V1;;30;4720.00;5900.00;https://brrc.ru/catalog/multikoptery/ramy/karbonovaya_rama_so_stoykami_i_boltami_v1/
BG-0093;Карбоновая рама со стойками и болтами V2;;30;4720.00;5900.00;https://brrc.ru/catalog/multikoptery/ramy/karbonovaya_rama_so_stoykami_i_boltami_v2/
SPMA9557;Датчик напряжения батареи Deans, Spektrum;Spektrum;30;85.00;100.00;https://brrc.ru/catalog/apparatura_i_elektronika/zapchasti_i_aksessuary_1/datchik_napryazheniya_batarei_deans_spectrum/
DAL-7040-orange;Пропеллеры Dalprop 7040 оранжевые (4 штуки);Dalprop;30;112.00;140.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_dalprop_7040_oranzhevye_4_shtuki/
WB 18# AWG Silicone Red;Провод силиконовый AWG 18#(0,823 мм2) красный 1 метр;Pulsar;30;142.00;190.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/provod_silikonovyy_awg_18_0_823_mm2_krasnyy_1_metr/
4T041;Тяга чашки (качалки) Gyrox;Wright Brothers;30;42.00;50.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/tyagi_kachalki_sharniry_rychagi/tyaga_chashki_kachalki_gyrox/
C182-005;Пропеллер 11x4.7 SF для Cessna 182;Sonic Modell;30;576.00;720.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/propellery_k_elektrodvigatelyam/propeller_11x4_7_sf_dlya_cessna_182/
6958265109560;Крышка выхода USB для DJI Phantom 2;DJI;30;17.00;20.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/zapchasti_dji/zapchasti_dlya_phantom_2/kryshka_vykhoda_usb_dlya_dji_phantom_2/
PRB08031T2;Катер ProBoat Jet Jam 12 Pool Racer (белый) RTR;ProBoat;30;8415.00;9900.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/korabli_yakhty/katera/elektro_1/radioupravlyaemyy_kater_proboat_jet_jam_12_pool_racer_belyy_rtr/
DAL-T3045BN-green;Пропеллеры Dalprop T3045 Bullnose зеленые (4 штуки);Dalprop;30;112.00;140.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_dalprop_t3045_bullnose_zelenye_4_shtuki/
BG-0094;Карбоновая рама со стойками и болтами V3;;30;4392.00;5490.00;https://brrc.ru/catalog/multikoptery/ramy/karbonovaya_rama_so_stoykami_i_boltami_v3/
SPMA9554;Датчик напряжения батареи, Spektrum;Spektrum;30;85.00;100.00;https://brrc.ru/catalog/apparatura_i_elektronika/zapchasti_i_aksessuary_1/datchik_napryazheniya_batarei_spectrum/
4R141;Балансир Nemesis;Wright Brothers;30;198.00;290.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_stabilizatora/balansir_nemesis/
DAL-TJ4045-green;Пропеллеры Dalprop TJ4045 зеленые (4 штуки);Dalprop;30;136.00;170.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_dalprop_tj4045_zelenye_4_shtuki/
C182;Радиоуправляемый самолёт Cessna 182 RTF (1410 мм);Sonic Modell;30;20315.00;23900.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/dlya_nachinayushchikh/radioupravlyaemyy_samolyet_cessna_182_rtf_1410_mm/
SPMA9556;Датчик напряжения батареи EC3, Spektrum;Spektrum;30;85.00;100.00;https://brrc.ru/catalog/apparatura_i_elektronika/zapchasti_i_aksessuary_1/datchik_napryazheniya_batarei_ec3_spectrum/
puls-accguard;Защита аккумулятора для гоночного квадрокоптера;Pulsar;30;210.00;300.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/zashchita_akkumulyatora_dlya_gonochnogo_kvadrokoptera/
BETA-0003;Набор крепежа BETAFPV для Tiny Whoop;BETAFPV;30;986.00;1160.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/nabor_krepezha_dlya_poletnykh_kontrollerov_betafpv/
BLH9800;Квадрокоптер BLADE Inductrix Switch 2 в 1 RTF;Blade;30;1691.00;1990.00;https://brrc.ru/catalog/multikoptery/kvadrokoptery/dlya_nachinayushchikh_2/kvadrokopter_blade_inductrix_switch_2_v_1_rtf/
SD006;Симулятор 8 в 1 (RealFlight, Reflex XTR, FMS, P-RC, Aerofly, Freerider FPV, Vireual RC Racing);Pulsar;30;1658.00;1950.00;https://brrc.ru/catalog/simulyatory/simulyator_22_v_1_phoenix_5_0_aerofly_1_91_reflex_xtr_5_03_realflight_g7/
SPMA9570;Датчик напряжения батареи Soldering, Spektrum;Spektrum;30;85.00;100.00;https://brrc.ru/catalog/apparatura_i_elektronika/zapchasti_i_aksessuary_1/datchik_napryazheniya_batarei_soldering_spectrum/
SCR-040;Винт титановый М3 с круглой головкой 8 мм 40 шт;SCR;30;600.00;750.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/vint_titanovyy_m3_s_krugloy_golovkoy_8_mm_10_sht/
EFLH1445W;Стойки посадочных шасси Blade, пластик, белые, B400;Blade;30;65.00;40.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/shassi/stoyki_posadochnykh_shassi_plastik_belye_b400/
SPMA9555;Датчик напряжения батареи JST, Spektrum;Spektrum;30;85.00;100.00;https://brrc.ru/catalog/apparatura_i_elektronika/zapchasti_i_aksessuary_1/datchik_napryazheniya_batarei_jst_spectrum/
GF-1045;Пропеллеры для мультикоптера Gemfan 10x4.5 (2 штуки);Gemfan;30;320.00;400.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_dlya_multikoptera_gemfan_10x4_5_2_shtuki/
DRC-B6AC;Зарядное устройство универсальное Deep RC B6AC (220/12В, 80W, C:6A, D:2A);Deep RC;30;3221.00;3790.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_deep_rc_b6ac/
4D101;Цапфы Nemesis;Wright Brothers;30;154.00;190.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_golovki_osnovnogo_rotora/tsapfy_nemesis/
