Артикул;Название товара;Бренд;Остаток на складе;Оптовая цена;Розничная цена;Ссылка на сайте
AXI200000;Кузовные элементы Axial Jeep Wrangler JLU CRC SCX24;Axial;5;2448.00;3060.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/kuzova_i_kraska/kuzova_dlya_kraulerov_i_trofi/clear_body_2019_jeep_wrangler_jlu_crc_scx24/
DUB501;"Тяга мягкая DuBro (боудэн) 48&quot;";DUBRO;5;535.00;930.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/kabanchiki_tyagi_petli/tyaga_myagkaya_dubro_bouden_48/
DUB599;Латунные дюра-ошейники DuBro 4.7mm/3/16;DUBRO;5;374.00;670.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/latunnye_dyura_osheyniki_dubro_4_7mm_3_16/
DUB587;Шайба гровер DuBro #10;DUBRO;5;59.00;110.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/shayba_grover_dubro_10/
DUB580;Болт DuBro 10-32 , длина 19мм. ;DUBRO;5;76.00;130.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/bolt_dubro_10_32_dlina_19mm_/
DUB581;Болт DuBro 10-32, длина 25мм;DUBRO;5;76.00;130.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/bolt_dubro_10_32_dlina_25mm/
DUB576;Винты DuBro с цилиндрической головкой 6-32, длина 19мм.;DUBRO;5;292.00;390.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/vinty_dubro_s_tsilindricheskoy_golovkoy_6_32_dlina_19mm/
DUB572;"Винты DuBro с цилиндрической головкой 4-40 x 3/4&quot;";DUBRO;5;68.00;120.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/vinty_dubro_s_tsilindricheskoy_golovkoy_4_40_x_3_4/
DUB540;Штуцер DuBro для бака 10-32;DUBRO;5;127.00;230.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/shtutser_dubro_dlya_baka_10_32/
DUB527;"Шуруп DuBro самонарезной 4x1/2&quot; (8шт.)";DUBRO;5;110.00;210.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/shurup_dubro_samonareznoy_4x1_2_8sht_/
DUB528;"Шуруп DuBro самонарезной 4x3/4&quot; (8шт.)";DUBRO;5;110.00;210.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/shurup_dubro_samonareznoy_4x3_4_8sht_/
DUB660;Набор ножей DuBro для прорезания отверстий под плоские петли;DUBRO;5;629.00;1010.00;https://brrc.ru/catalog/materialy_i_instrumenty/ruchnoy_instrument/nabor_nozhey_dubro_dlya_prorezaniya_otverstiy_pod_ploskie_petli/
DYNS2631;Регулятор скорости бесколлекторный Dynamite Fuze 150A Sensorless BL WP ESC 3-6S;Dynamite;5;7565.00;8900.00;https://brrc.ru/catalog/apparatura_i_elektronika/regulyatory/regulyatory_khoda_beskollektornye/fuze_150a_sensorless_bl_wp_esc_3_6s/
matek-LEDX2-5G;Подсветка для моторов Matek LED CIRCLE X2/5V (зеленый) 2шт;Matek;5;51.00;60.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/podsvetka_dlya_motorov_matek_led_circle_x2_5v_zelenyy_2sht/
MTPG1304QR;Защита пропеллеров MayTech для DJI Inspire 1;Maytech;5;85.00;100.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/zashchity_propellerov/zashchita_propellerov_maytech_dlya_dji_inspire_1/
SCR-016;Винт титановый с круглой головкой 10 мм 5шт;SCR;5;85.00;100.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/vint_titanovyy_s_krugloy_golovkoy_10_mm_5sht/
SCR-002;Гайка самоконтрящаяся низкопрофильная М5 левого вращения CCW (черная) 4шт;SCR;5;110.00;130.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/gayka_samokontryashchayasya_nizkoprofilnaya_m5_levogo_vrashcheniya_ccw_chernaya_4sht/
P-UNF-D17;Наклейка на корпус PGYTECH (скин D17) для DJI MAVIC AIR;PGYTECH;5;85.00;100.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/drugoe/nakleyka_na_korpus_pgytech_skin_d17_dlya_dji_mavic_air/
ARAC9026;Задние нижние рычаги ARRMA Kraton (1 пара) (AR330249);ARRMA;5;888.00;1110.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_podveski/rychagi_i_rulevoe_upravlenie/zadnie_nizhnie_rychagi_arrma_kraton_1_para_ar330249/
ARAC3020;Комплект деталей рулевого управления ARRMA 1:10 4х4 (AR340132);ARRMA;5;360.00;480.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_podveski/rychagi_i_rulevoe_upravlenie/komplekt_detaley_rulevogo_upravleniya_arrma_1_10_4kh4_ar340132/
ARAC3982;Вал привода CVD 142mm ARRMA Kraton (AR310458);ARRMA;5;2368.00;2960.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_transmissii/privody/val_privoda_cvd_142mm_arrma_kraton_ar310458/
